Name,Units,Group,Description/Notes
mpltime,`matplotlib date format <https://matplotlib.org/api/dates_api.html#matplotlib.dates.date2num>`_,---,The time data
vel,m/s,---,The velocity vector data
range,m,---,The distance from the ADP head
c_sound,m/s,env,The speed of sound used in velocity calculations.
press,dbar?,env,pressure measured by the instrument
temp,degrees Celsius,env,The temperature measured by the instrument.
Accel,m/s^2,orient,The vector acceleraton of the instrument
AngRt,rad/s,orient,The angular rotation rate of the instrument
Mag,???,orient,The magnetometer data.
heading,degrees,orient,The instrument heading* (clockwise from North)
pitch,degrees,orient,The instrument pitch*
roll,degrees,orient,The instrument roll*
orientmat,---,orient,The instrument's orientation matrix in the earth reference frame
amp,???,signal,The acoustic signal return amplitude
corr,percent,signal,correlation between the send and receive pings.
ambig_vel,m/s,sys,The ambiguity velocity*
batt_V,voltage,sys,The battery voltage
ensemble,---,sys,The ensemble counter
error,---,sys,The instrument error code*
status,---,sys,The instrument status code*
temp_clock,degrees C?,sys,The instruments clock temperature
temp_mag,degrees C?,sys,The instruments magnetometer temperature
temp_press,degrees C?,sys,The instruments pressure sensor temperature
